rater,ratee,value,decimals,tag1
0x809d59b1dc5f7f03aa2f5f02e9679d7f66b4c7c7,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/2952,85,0,trust
0xc71a15fcb1149254f97059f6cf3f6ed43990ebd4,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/2952,85,0,trust
0xf653068677a9a26d5911da8abd1500d043ec807e,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/2952,30,0,trust
0x130e90223aa47b1a046cbb1f6f27ea98e139ee30,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/10493,30,0,quality
0xa06f907f7ea437ebe60e3d452831ec69e5be43a4,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/10493,85,0,trust
0xc71a15fcb1149254f97059f6cf3f6ed43990ebd4,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/10493,85,0,trust
0xf653068677a9a26d5911da8abd1500d043ec807e,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/10493,30,0,trust
0x130e90223aa47b1a046cbb1f6f27ea98e139ee30,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/16957,78,0,quality
0x809d59b1dc5f7f03aa2f5f02e9679d7f66b4c7c7,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/16957,60,0,trust
0xf653068677a9a26d5911da8abd1500d043ec807e,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/16957,85,0,trust
0xa06f907f7ea437ebe60e3d452831ec69e5be43a4,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/18887,30,0,trust
0xc71a15fcb1149254f97059f6cf3f6ed43990ebd4,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/18887,85,0,trust
0xc71a15fcb1149254f97059f6cf3f6ed43990ebd4,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/18887,85,0,trust
0xc71a15fcb1149254f97059f6cf3f6ed43990ebd4,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/18887,30,0,trust
0xf653068677a9a26d5911da8abd1500d043ec807e,eip155:8453/erc721:0x8004A169FB4a3325136EB29fA0ceB6D2e539a432/18887,30,0,trust
